id,title,authors,conference,year,official_page,pdf_link,status_or_award
ECCV2024-0059,ShareGPT4V: Improving Large Multi-Modal Models with Better Captions,Lin Chen; Jinsong Li; Xiaoyi Dong; Pan Zhang; Conghui He; Jiaqi Wang; Feng Zhao; Dahua Lin,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/765,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/02629.pdf,2024 Poster
ECCV2024-0060,EvSign: Sign Language Recognition and Translation with Streaming Events,Pengyu Zhang; Hao Yin; Zeren Wang; Wenyue Chen; Sheng Ming Li; Dong Wang; Huchuan Lu; XU JIA,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1839,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00799.pdf,2024 Poster
ECCV2024-0061,MetaAug: Meta-Data Augmentation for Post-Training Quantization,Cuong Pham; Hoang Anh Dung; Cuong Cao Nguyen; Trung Le; Dinh Q Phung; Gustavo Carneiro; Thanh-Toan Do,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1554,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/03914.pdf,2024 Poster
ECCV2024-0062,QUAR-VLA: Vision-Language-Action Model for Quadruped Robots,Pengxiang Ding; Han Zhao; Wenjie Zhang; Wenxuan Song; Min Zhang; Siteng Huang; Ningxi Yang; Donglin Wang,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1103,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00808.pdf,2024 Poster
ECCV2024-0063,Towards Latent Masked Image Modeling for Self-Supervised Visual Representation Learning,Yibing Wei; Abhinav Gupta; Pedro Morgado,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1174,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/05568.pdf,2024 Poster
ECCV2024-0064,UNIKD: UNcertainty-Filtered Incremental Knowledge Distillation for Neural Implicit Representation,Mengqi GUO; Chen Li; Hanlin Chen; Gim Hee Lee,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/170,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/06561.pdf,2024 Poster
ECCV2024-0065,PartSTAD: 2D-to-3D Part Segmentation Task Adaptation,Hyunjin Kim; Minhyuk Sung,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/410,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00817.pdf,2024 Poster
ECCV2024-0066,FutureDepth: Learning to Predict the Future Improves Video Depth Estimation,Rajeev Yasarla; Manish Kumar Singh; Hong Cai; Yunxiao Shi; Jisoo Jeong; Yinhao Zhu; Shizhong Han; Risheek Garrepalli; Fatih Porikli,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1717,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00828.pdf,2024 Poster
ECCV2024-0067,Cross-Input Certified Training for Universal Perturbations,Changming Xu; Gagandeep Singh,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1586,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/08210.pdf,2024 Poster
ECCV2024-0068,Rethinking and Improving Visual Prompt Selection for In-Context Learning Segmentation Framework,Wei Suo; Lanqing Lai; Mengyang Sun; Hanwang Zhang; Peng Wang; Yanning Zhang,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/785,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/06227.pdf,2024 Poster
