id,title,authors,conference,year,official_page,pdf_link,status_or_award
CVPR2026-1301,BulletTime: Decoupled Control of Time and Camera Pose for Video Generation,Yiming Wang; Qihang Zhang; Shengqu Cai; Tong Wu; Jan Ackermann; Zhengfei Kuang; Yang Zheng; Frano Rajič; Siyu Tang; Gordon Wetzstein,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Wang_BulletTime_Decoupled_Control_of_Time_and_Camera_Pose_for_Video_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Wang_BulletTime_Decoupled_Control_of_Time_and_Camera_Pose_for_Video_CVPR_2026_paper.pdf,
CVPR2026-1302,Human Interaction-Aware 3D Reconstruction from a Single Image,Gwanghyun Kim; Junghun James Kim; Suh Yoon Jeon; Jason Park; Se Young Chun,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Kim_Human_Interaction-Aware_3D_Reconstruction_from_a_Single_Image_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Kim_Human_Interaction-Aware_3D_Reconstruction_from_a_Single_Image_CVPR_2026_paper.pdf,
CVPR2026-1303,Adaptive Action Chunking at Inference-time for Vision-Language-Action Models,Yuanchang Liang; Xiaobo Wang; Kai Wang; Shuo Wang; Xiaojiang Peng; Haoyu Chen; David Kim Huat Chua; Prahlad Vadakkepat,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Liang_Adaptive_Action_Chunking_at_Inference-time_for_Vision-Language-Action_Models_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Liang_Adaptive_Action_Chunking_at_Inference-time_for_Vision-Language-Action_Models_CVPR_2026_paper.pdf,
CVPR2026-1304,ReManNet: A Riemannian Manifold Network for Monocular 3D Lane Detection,Chengzhi Hong; Bijun Li,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Hong_ReManNet_A_Riemannian_Manifold_Network_for_Monocular_3D_Lane_Detection_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Hong_ReManNet_A_Riemannian_Manifold_Network_for_Monocular_3D_Lane_Detection_CVPR_2026_paper.pdf,
CVPR2026-1305,MA-Bench: Towards Fine-grained Micro-Action Understanding,Kun Li; Jihao Gu; Fei Wang; Zhiliang Wu; Hehe Fan; Dan Guo,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Li_MA-Bench_Towards_Fine-grained_Micro-Action_Understanding_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Li_MA-Bench_Towards_Fine-grained_Micro-Action_Understanding_CVPR_2026_paper.pdf,
CVPR2026-1306,Beyond Layer-Wise Merging: Chain-of-Merging for Vision-Language Models,Xinyu Zhang; Yuxuan Dong; Lingling Zhang; Chengyou Jia; ZhuoHang Dang; Yixing Yao; Yaqiang Wu; Basura Fernando; Jun Liu,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Zhang_Beyond_Layer-Wise_Merging_Chain-of-Merging_for_Vision-Language_Models_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Zhang_Beyond_Layer-Wise_Merging_Chain-of-Merging_for_Vision-Language_Models_CVPR_2026_paper.pdf,
CVPR2026-1307,"Synthetic Object Compositions for Scalable and Accurate Learning in Detection, Segmentation, and Grounding",Weikai Huang; Jieyu Zhang; Taoyang Jia; Chenhao Zheng; Ziqi Gao; Jae Sung Park; Ranjay Krishna,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Huang_Synthetic_Object_Compositions_for_Scalable_and_Accurate_Learning_in_Detection_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Huang_Synthetic_Object_Compositions_for_Scalable_and_Accurate_Learning_in_Detection_CVPR_2026_paper.pdf,
CVPR2026-1308,WeaveTime: Streaming from Earlier Frames into Emergent Memory in VideoLLMs,Yulin Zhang; Cheng Shi; Sibei Yang,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Zhang_WeaveTime_Streaming_from_Earlier_Frames_into_Emergent_Memory_in_VideoLLMs_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Zhang_WeaveTime_Streaming_from_Earlier_Frames_into_Emergent_Memory_in_VideoLLMs_CVPR_2026_paper.pdf,
CVPR2026-1309,Towards Generalized Multimodal Homography Estimation,Jinkun You; Jiaxin Cheng; Jie Zhang; Yicong Zhou,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/You_Towards_Generalized_Multimodal_Homography_Estimation_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/You_Towards_Generalized_Multimodal_Homography_Estimation_CVPR_2026_paper.pdf,
CVPR2026-1310,Self-Attention Driven Tensor Representation for High-Order Data Recovery,Zhi-Wei Shi; Yu-Bang Zheng; Heng-Chao Li,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Shi_Self-Attention_Driven_Tensor_Representation_for_High-Order_Data_Recovery_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Shi_Self-Attention_Driven_Tensor_Representation_for_High-Order_Data_Recovery_CVPR_2026_paper.pdf,
