id,title,authors,conference,year,official_page,pdf_link,status_or_award,source_url
ICML2024-0040,Energy-Efficient Gaussian Processes Using Low-Precision Arithmetic,"Nicolas Alder, Ralf Herbrich",ICML,2024,https://proceedings.mlr.press/v235/alder24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/alder24a/alder24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0041,Evaluation of Test-Time Adaptation Under Computational Time Constraints,"Motasem Alfarra, Hani Itani, Alejandro Pardo, Shyma Yaser Alhuwaider, Merey Ramazanova, Juan Camilo Perez, Zhipeng Cai, Matthias Müller, Bernard Ghanem",ICML,2024,https://proceedings.mlr.press/v235/alfarra24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/alfarra24a/alfarra24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0042,On the Weight Dynamics of Deep Normalized Networks,"Christian H.X. Ali Mehmeti-Göpel, Michael Wand",ICML,2024,https://proceedings.mlr.press/v235/ali-mehmeti-gopel24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/ali-mehmeti-gopel24a/ali-mehmeti-gopel24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0043,No Dimensional Sampling Coresets for Classification,"Meysam Alishahi, Jeff M. Phillips",ICML,2024,https://proceedings.mlr.press/v235/alishahi24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/alishahi24a/alishahi24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0044,Unsupervised Evaluation of Code LLMs with Round-Trip Correctness,"Miltiadis Allamanis, Sheena Panthaplackel, Pengcheng Yin",ICML,2024,https://proceedings.mlr.press/v235/allamanis24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/allamanis24a/allamanis24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0045,"Physics of Language Models: Part 3.1, Knowledge Storage and Extraction","Zeyuan Allen-Zhu, Yuanzhi Li",ICML,2024,https://proceedings.mlr.press/v235/allen-zhu24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/allen-zhu24a/allen-zhu24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0046,Byzantine-Robust Federated Learning: Impact of Client Subsampling and Local Updates,"Youssef Allouah, Sadegh Farhadkhani, Rachid Guerraoui, Nirupam Gupta, Rafael Pinot, Geovani Rizk, Sasha Voitovych",ICML,2024,https://proceedings.mlr.press/v235/allouah24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/allouah24a/allouah24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0047,The Privacy Power of Correlated Noise in Decentralized Learning,"Youssef Allouah, Anastasia Koloskova, Aymane El Firdoussi, Martin Jaggi, Rachid Guerraoui",ICML,2024,https://proceedings.mlr.press/v235/allouah24b.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/allouah24b/allouah24b.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0048,Predicting Dose-Response Curves with Deep Neural Networks,"Pedro Alonso Campana, Paul Prasse, Tobias Scheffer",ICML,2024,https://proceedings.mlr.press/v235/alonso-campana24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/alonso-campana24a/alonso-campana24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0049,Robust and Conjugate Gaussian Process Regression,"Matias Altamirano, Francois-Xavier Briol, Jeremias Knoblauch",ICML,2024,https://proceedings.mlr.press/v235/altamirano24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/altamirano24a/altamirano24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
